state,constituency,winner,party,gender,criminal cases,age,category,education,assets,liabilities,total electors,balance assets,total_cons_per_state,total_voters_per_state,total_voters_per_cons
Kerala,KASARAGOD,0,CPI(M),1,4,61.0,GENERAL,7,6481669.0,1015342.0,1363937,5466327.0,63,82698658,3
Kerala,KASARAGOD,0,BJP,1,1,52.0,GENERAL,4,6843278.0,1901899.0,1363937,4941379.0,63,82698658,3
Bihar,KATIHAR,1,JD(U),1,1,51.0,GENERAL,7,13302734.0,3130766.0,1653353,10171968.0,218,384468939,2
Bihar,KATIHAR,0,INC,1,1,68.0,GENERAL,7,119291973.0,582950.0,1653353,118709023.0,218,384468939,2
Uttar Pradesh,KAUSHAMBI,1,BJP,1,4,49.0,SC,7,59336113.0,20730086.0,1787120,38606027.0,251,458868319,5
Uttar Pradesh,KAUSHAMBI,0,SP,1,2,57.0,SC,7,110999555.0,20623099.0,1787120,90376456.0,251,458868319,5
Uttar Pradesh,KAUSHAMBI,0,JDL,1,3,61.0,SC,7,38557366.0,3268327.0,1787120,35289039.0,251,458868319,5
Uttar Pradesh,KAUSHAMBI,0,IND,1,0,44.0,SC,5,0.0,0.0,1787120,0.0,251,458868319,5
Uttar Pradesh,KAUSHAMBI,0,INC,1,4,52.0,SC,6,48145467.0,22510000.0,1787120,25635467.0,251,458868319,5
Odisha,KENDRAPARA,1,BJD,1,0,37.0,GENERAL,7,22309172.0,4133506.0,1710916,18175666.0,73,112683114,3
Odisha,KENDRAPARA,0,BJP,1,5,55.0,GENERAL,7,574415842.0,600000.0,1710916,573815842.0,73,112683114,3
Odisha,KENDRAPARA,0,INC,1,0,65.0,GENERAL,8,40821148.0,3135045.0,1710916,37686103.0,73,112683114,3
Odisha,KEONJHAR,0,BJD,0,0,25.0,ST,7,340580.0,0.0,1516688,340580.0,73,112683114,3
Odisha,KEONJHAR,0,BJP,1,1,49.0,ST,6,5512006.0,533728.0,1516688,4978278.0,73,112683114,3
Odisha,KEONJHAR,0,INC,1,0,43.0,ST,8,7233000.0,744762.0,1516688,6488238.0,73,112683114,3
Punjab,KHADOOR SAHIB,1,INC,1,0,48.0,GENERAL,5,81393500.0,4655000.0,1638842,76738500.0,53,85100123,4
Punjab,KHADOOR SAHIB,0,SAD,0,1,65.0,GENERAL,7,139193710.0,5098845.0,1638842,134094865.0,53,85100123,4
Punjab,KHADOOR SAHIB,0,PUNEKP,0,0,65.0,GENERAL,8,11310000.0,0.0,1638842,11310000.0,53,85100123,4
Punjab,KHADOOR SAHIB,0,AAP,1,2,33.0,GENERAL,6,4411000.0,0.0,1638842,4411000.0,53,85100123,4
Bihar,KHAGARIA,1,LJP,1,1,52.0,GENERAL,7,109788313.0,0.0,1676454,109788313.0,218,384468939,7
Bihar,KHAGARIA,0,VSIP,1,4,40.0,GENERAL,3,119699803.0,16547563.0,1676454,103152240.0,218,384468939,7
Bihar,KHAGARIA,0,IND,1,0,31.0,GENERAL,7,321000.0,0.0,1676454,321000.0,218,384468939,7
Bihar,KHAGARIA,0,IND,1,0,27.0,GENERAL,4,603000.0,0.0,1676454,603000.0,218,384468939,7
Bihar,KHAGARIA,0,BMUP,1,0,35.0,SC,6,566260.0,50000.0,1676454,516260.0,218,384468939,7
Bihar,KHAGARIA,0,IND,1,4,44.0,GENERAL,7,7051000.0,0.0,1676454,7051000.0,218,384468939,7
Bihar,KHAGARIA,0,AAM,1,0,38.0,GENERAL,3,1519500.0,0.0,1676454,1519500.0,218,384468939,7
Madhya Pradesh,KHAJURAHO,1,BJP,1,0,49.0,GENERAL,8,10589334.0,2507176.0,1842095,8082158.0,93,165541098,3
Madhya Pradesh,KHAJURAHO,0,INC,0,0,39.0,GENERAL,7,73695721.0,2160104.0,1842095,71535617.0,93,165541098,3
Madhya Pradesh,KHAJURAHO,0,SP,1,8,39.0,GENERAL,6,39687180.0,4212532.0,1842095,35474648.0,93,165541098,3
Telangana,KHAMMAM,1,TRS,1,5,62.0,GENERAL,6,1074671341.0,80721594.0,1513809,993949747.0,74,127212819,6
Telangana,KHAMMAM,0,INC,0,1,64.0,GENERAL,8,1131285724.0,116191184.0,1513809,1015094540.0,74,127212819,6
Telangana,KHAMMAM,0,CPI(M),1,0,54.0,SC,7,9611087.0,3185000.0,1513809,6426087.0,74,127212819,6
Telangana,KHAMMAM,0,BJP,1,0,47.0,GENERAL,5,26300049.0,4686270.0,1513809,21613779.0,74,127212819,6
Telangana,KHAMMAM,0,JnP,1,0,46.0,GENERAL,8,2201365.0,590000.0,1513809,1611365.0,74,127212819,6
Telangana,KHAMMAM,0,IND,1,0,61.0,GENERAL,2,3968500.0,45000.0,1513809,3923500.0,74,127212819,6
Madhya Pradesh,KHANDWA,1,BJP,1,0,66.0,GENERAL,8,19076515.0,4819099.0,1909055,14257416.0,93,165541098,3
Madhya Pradesh,KHANDWA,0,INC,1,0,45.0,GENERAL,7,389536712.0,196853975.0,1909055,192682737.0,93,165541098,3
Madhya Pradesh,KHANDWA,0,BSP,1,0,60.0,ST,4,2656005.0,0.0,1909055,2656005.0,93,165541098,3
Madhya Pradesh,KHARGONE,1,BJP,1,0,43.0,ST,7,67303990.0,1885020.0,1834385,65418970.0,93,165541098,4
Madhya Pradesh,KHARGONE,0,INC,1,0,55.0,ST,8,19556340.0,0.0,1834385,19556340.0,93,165541098,4
Madhya Pradesh,KHARGONE,0,CPI(M),0,0,39.0,ST,3,4430200.0,0.0,1834385,4430200.0,93,165541098,4
Madhya Pradesh,KHARGONE,0,BSP,1,0,33.0,ST,6,286000.0,22000.0,1834385,264000.0,93,165541098,4
Gujarat,KHEDA,1,BJP,1,0,54.0,GENERAL,5,13023202.0,995240.0,1804028,12027962.0,69,119028011,2
Gujarat,KHEDA,0,INC,1,0,58.0,GENERAL,7,86398716.0,25512343.0,1804028,60886373.0,69,119028011,2
Uttar Pradesh,KHERI,1,BJP,1,1,60.0,GENERAL,7,45295455.0,0.0,1770699,45295455.0,251,458868319,4
